"date","value","series_code","source","extracted_at","series_name","series_description","unit","_loaded_at"
"2020-04-08 03:00:00",5.2117,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-04-09 03:00:00",5.0773,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-04-13 03:00:00",5.1818,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-04-14 03:00:00",5.1852,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-04-15 03:00:00",5.2573,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-04-16 03:00:00",5.2371,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-04-17 03:00:00",5.2567,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-04-20 03:00:00",5.2831,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-04-22 03:00:00",5.3841,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-04-23 03:00:00",5.4461,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-04-24 03:00:00",5.6504,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
"2020-04-27 03:00:00",5.6352,GM366_ERC366,IPEA,"2025-12-31 17:16:04",dolar,Dólar Comercial (compra),R$/US$,2026-01-01 21:22:55.024
